,Artist,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
174,Lil Tjay,Reading Festival 2023 - Sunday Day Ticket,https://www.ticketmaster.co.uk/reading-festival-2023-sunday-day-ticket-reading-27-08-2023/event/37005D78B7045576,Great Britain,Reading,-0.984937,51.463682
175,Normani,No events,-,-,-,-,-
176,Studio Killers,No events,-,-,-,-,-
177,JACKBOYS,No events,-,-,-,-,-
178,Master KG,No events,-,-,-,-,-
179,Elton John,Elton John,https://www.ticketmaster.co.uk/elton-john-liverpool-23-03-2023/event/1F005567F92EB80D,Great Britain,Liverpool,-2.990063,53.39702
180,benny blanco,No events,-,-,-,-,-
181,"Earth, Wind & Fire",Earth Wind & Fire,https://www.ticketmaster.com/event/Z7r9jZ1Adj-Av,United States Of America,San Diego,-117.172096,32.7253
182,24kGoldn,Nick Cannon w/ SYMBA,https://www.ticketmaster.com/event/Z7r9jZ1AdQ9b4,United States Of America,Austin,-97.713303,30.228399
183,Matthew Wilder,No events,-,-,-,-,-
184,Ty Dolla $ign,No events,-,-,-,-,-
185,Harry Styles,Harry Styles Love on Tour 2022: Kia Forum is Harry's House,https://www.ticketmaster.com/harry-styles-love-on-tour-2022-inglewood-california-01-26-2023/event/09005CA4FAB98C0B,United States Of America,Inglewood,-118.341868,33.9583
186,Stormzy,Luno Presents All Points East - STORMZY: This Is What We Mean Day,https://www.ticketmaster.co.uk/luno-presents-all-points-east-stormzy-london-18-08-2023/event/37005D6A737D094D,Great Britain,London,-0.04047,51.53929
187,Lil Nas X,Mad Cool 2023 | Entradas Día 6,https://www.ticketmaster.es/event/mad-cool-2023-%7C-entradas-dia-6-tickets/33615?language=en-us,Spain,Madrid,-3.71094,40.32866
188,TWICE,No events,-,-,-,-,-
189,Lil Mosey,No events,-,-,-,-,-
190,Farruko,No events,-,-,-,-,-
191,Camilo,Hiromi & Michel Camilo,https://www.ticketweb.com/event/hiromi-michel-camilo-blue-note-jazz-club-tickets/12317575,United States Of America,New York,-74.00065,40.73094
192,Regard,Steve Aoki - Hiroquest: Genesis Tour,https://www.ticketmaster.com/steve-aoki-hiroquest-genesis-tour-san-francisco-california-03-11-2023/event/1C005E24DC4641ED,United States Of America,San Francisco,-122.417473,37.778479
193,Ali Gatie,No events,-,-,-,-,-
194,Lorde,LORDE,https://www.moshtix.com.au/v2/event/lorde/129756,Australia,Upper Swan,116.0225478,-31.79000536
195,French Montana,Yeat 2023,https://tickets.thecomplexslc.com/event/yeat-slc/,United States Of America,Salt Lake City,-111.90661677,40.76769062
196,Trevor Daniel,No events,-,-,-,-,-
197,XXXTENTACION,No events,-,-,-,-,-
198,Saweetie,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
199,Hugo & Guilherme,No events,-,-,-,-,-
200,Little Mix,No events,-,-,-,-,-
201,Martin Garrix,Robbie Williams,https://www.ticketmaster.es/event/robbie-williams-tickets/33519?language=en-us,Spain,Santiago de Compostela,-8.50014,42.88672
202,Jonas Esticado,No events,-,-,-,-,-
203,BIA,Bord Bia Bloom,https://www.ticketmaster.ie/bord-bia-bloom-dublin-01-06-2023/event/18005D7ECE88691B,Ireland,Dublin,-6.32947683,53.35494439
204,blackbear,No events,-,-,-,-,-
205,Curtis Waters,Curtis Waters,https://www.ticketweb.ca/event/curtis-waters-commonwealth-bar-stage-tickets/12721995?REFERRAL_ID=tmfeed,Canada,Calgary,-114.078298,51.043571
206,Jason Derulo,Jason Derulo,https://www.ticketmaster.ie/jason-derulo-belfast-06-03-2025/event/18004746EFD46E01,Great Britain,Belfast,-5.91356277,54.60391677
207,Shablo,No events,-,-,-,-,-
208,Lele Pons,No events,-,-,-,-,-
209,Jack Harlow,Jack Harlow,https://www.ticketmaster.com/event/Z7r9jZ1Adj_ZK,United States Of America,Las Vegas,-115.145103,36.124401
210,Os Barões Da Pisadinha,No events,-,-,-,-,-
211,MAX,Max Creek,https://www.ticketmaster.com/max-creek-denver-colorado-04-22-2023/event/1E005D3CF54E4617,United States Of America,Denver,-104.991973,39.752619
212,Robin Schulz,Robin Schulz,https://www.ticketmaster.com/robin-schulz-philadelphia-pennsylvania-03-24-2023/event/02005D8F820C3626,United States Of America,Philadelphia,-75.159035,39.957705
213,MC Kevin o Chris,No events,-,-,-,-,-
214,Jorge & Mateus,No events,-,-,-,-,-
215,Daði Freyr,No events,-,-,-,-,-
216,Roddy Ricch,No events,-,-,-,-,-
217,Justin Quiles,No events,-,-,-,-,-
218,Walker Hayes,Premium Seating - Walker Hayes,https://www.ticketmaster.com/premium-seating-walker-hayes-camdenton-missouri-06-22-2023/event/06005D88E2D77064,United States Of America,Camdenton,-92.775409,38.031842
219,JP Saxe,Bonnaroo Music + Arts Festival,https://on.fgtix.com/trk/umKK,United States Of America,Manchester,-86.06871796,35.51218796
220,Ufo361,No events,-,-,-,-,-
221,G-Eazy,No events,-,-,-,-,-
222,Ashnikko,Ashnikko,https://www.ticketmaster.com.au/ashnikko-brisbane-04-04-2023/event/13005D77EF22B5FD,Australia,Brisbane,153.034553,-27.457971
223,John Legend,John Legend,https://www.ticketmaster.co.uk/john-legend-london-05-04-2023/event/1F005CB4C45B6D88,Great Britain,London,-0.177552,51.501277
224,Hippie Sabotage,No events,-,-,-,-,-
225,AC/DC,AC/DC UK,https://www.ticketweb.uk/event/acdc-uk-rescue-rooms-tickets/12590065?REFERRAL_ID=tmfeed,Great Britain,Nottingham,-1.152975,52.956173
226,Damso,DAMSO,https://www.ticketmaster.ca/damso-quebec-quebec-01-27-2023/event/31005D28DC044FEA,Canada,Québec,-71.24762,46.824958
227,Bring Me The Horizon,Bring Me The Horizon,https://www.ticketmaster.nl/event/bring-me-the-horizon-tickets/274839?language=en-us,Netherlands,Amsterdam,4.93636,52.31778
228,Raí Saia Rodada,No events,-,-,-,-,-
229,Macklemore & Ryan Lewis,No events,-,-,-,-,-
230,SHAED,BeachLife Festival,https://on.fgtix.com/trk/wDIK,United States Of America,Redondo Beach,-118.39284,33.843867
231,Lil Peep,No events,-,-,-,-,-
232,ZAYN,No events,-,-,-,-,-
233,SZA,SZA - SOS Tour,https://www.ticketmaster.com/sza-sos-tour-columbus-ohio-02-21-2023/event/05005D8B3E2277A0,United States Of America,Columbus,-83.0249081,40.0080079
234,BØRNS,No events,-,-,-,-,-
235,BANNERS,BANNERS,https://www.ticketweb.uk/event/banners-oran-mor-tickets/12472535?REFERRAL_ID=tmfeed,Great Britain,Glasgow,-4.289157,55.87738
236,Pamungkas,No events,-,-,-,-,-
237,Tyla Yaweh,No events,-,-,-,-,-
238,Red Velvet - IRENE & SEULGI,No events,-,-,-,-,-
239,Israel & Rodolffo,No events,-,-,-,-,-
240,K CAMP,No events,-,-,-,-,-
241,Red Velvet,No events,-,-,-,-,-
242,Justin Timberlake,No events,-,-,-,-,-
243,Clairo,The Sling Tour: Clairo with Arlo Parks,https://www.ticketmaster.ca/the-sling-tour-clairo-with-arlo-vancouver-british-columbia-01-26-2024/event/11005AEDC85A17E2,Canada,Vancouver,-123.1211044,49.2804917
244,Arctic Monkeys,Arctic Monkeys,https://www.ticketmaster.com/arctic-monkeys-inglewood-california-09-29-2023/event/09005D3D07C37419,United States Of America,Inglewood,-118.341868,33.9583
245,Luísa Sonza,No events,-,-,-,-,-
246,a-ha,aha Festival,https://www.ticketmaster.ch/event/aha-festival-tickets/16025?language=en-us,Switzerland,Kriens,8.2966,47.03347
247,One Direction,Harry Styles + One Direction Dance Party,https://www.ticketmaster.com/harry-styles-one-direction-dance-party-red-bank-new-jersey-01-27-2023/event/1D005D12AD93330C,United States Of America,Red Bank,-74.07022,40.349071
248,Oasis,Definitely Oasis,https://www.ticketweb.uk/event/definitely-oasis-kasbah-tickets/12586275?REFERRAL_ID=tmfeed,Great Britain,Coventry,-1.502767,52.41312
249,Matuê,No events,-,-,-,-,-
250,Mabel,No events,-,-,-,-,-
251,Labrinth,No events,-,-,-,-,-
252,Shakira,No events,-,-,-,-,-
253,Wallows,Wallows,https://www.ticketmaster.co.uk/wallows-leeds-13-01-2023/event/1F005C429ACD1A5A,Great Britain,Leeds,-1.547287,53.802291
254,Dan + Shay,No events,-,-,-,-,-
255,Linkin Park,In The End - Linkin Park Experience,https://www.ticketweb.com/event/in-the-end-the-ritz-tickets/12743575,United States Of America,San Jose,-121.885808,37.330003
256,Surf Mesa,No events,-,-,-,-,-
257,Dean Lewis,Dean Lewis,https://www.ticketmaster.co.uk/dean-lewis-london-26-03-2023/event/1F005D2FBB9432AA,Great Britain,London,-0.151324,51.543051
258,Manuel Turizo,Tecate Pal Norte 2023 (Domingo General),https://www.ticketmaster.com.mx/tecate-pal-norte-2023-domingo-general-monterrey-02-04-2023/event/14005D53BE6D4F5A,Mexico,Monterrey,-100.2899933,25.6768703
259,Camila Cabello,No events,-,-,-,-,-
260,Meek Mill,No events,-,-,-,-,-
261,Jerry Di,No events,-,-,-,-,-
262,Kina,No events,-,-,-,-,-
263,Bebe Rexha,No events,-,-,-,-,-
264,Surfaces,No events,-,-,-,-,-
265,Sam Feldt,Palm Tree Music Festival,https://www.ticketmaster.com.au/palm-tree-music-festival-brisbane-11-03-2023/event/13005D46CEA33F8A,Australia,Brisbane,153.030025,-27.47894
266,NLE Choppa,No events,-,-,-,-,-
267,Ozuna,Ozuna,https://www.ticketmaster.com/ozuna-seattle-washington-09-21-2024/event/0F005C9391EE550B,United States Of America,Seattle,-122.35401604,47.6221261
268,Tainy,No events,-,-,-,-,-
269,YNW Melly,No events,-,-,-,-,-
270,Passenger,No events,-,-,-,-,-
271,IU,No events,-,-,-,-,-
272,Harry Nach,No events,-,-,-,-,-
