,Song_Name,Genre,Subgenre,Subgenre_2,Release_Date,Song_Decade,Streams,Week_Of_Highest_Charting,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Artist,Artist_Followers,Gender,Artist_Generation,Type,Country,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
89,Little Engine,hip hop,detroit hip hop,hip hop,2020-01-17,2020s,"7,913,461",2020-01-17,January,Winter,2020,60.0,0.769,0.811,-4.162,0.228,0.0234,0.0451,155.081,177293.0,0.76,A#/Bb,Eminem,46814751,male,Generation X,person,US,SHADY: A Live Band Tribute To The Music Of Eminem,https://www.ticketweb.com/event/shady-a-live-band-tribute-joes-live-rosemont-tickets/12652835,United States Of America,Rosemont,-87.867325,41.979238
90,telepatía,pop,colombian pop,pop,2020-12-04,2020s,"7,912,399",2021-03-12,March,Spring,2021,88.0,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,160191.0,0.553,B,Kali Uchis,1999954,female,Millennial,person,US,No events,-,-,-,-,-
91,Fun Tonight,dance pop,dance pop,pop,2020-05-29,2020s,"7,907,329",2020-05-29,May,Spring,2020,58.0,0.645,0.923,-4.262,0.0725,0.364,0.14,117.945,173427.0,0.323,B,Lady Gaga,18585963,female,Millennial,person,US,Big Wig Lady Gaga Brunch: The Ultimate Drag Experience,https://concerts.livenation.com/big-wig-lady-gaga-brunch-the-philadelphia-pennsylvania-01-28-2023/event/02005D69970923FB,United States Of America,Philadelphia,-75.134752,39.965819
92,gold rush,pop,pop,post-teen pop,2020-12-11,2020s,"7,901,968",2020-12-11,December,Winter,2020,70.0,0.512,0.462,-10.491,0.0408,0.83,0.121,112.05,185320.0,0.353,A,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
93,i n t e r l u d e,hip hop,conscious hip hop,hip hop,2021-05-14,2020s,"7,880,155",2021-05-14,May,Spring,2021,76.0,0.77,0.574,-5.525,0.106,0.0617,0.104,98.962,133022.0,0.104,C#/Db,J. Cole,14097410,male,Millennial,person,US,"Modern Monsters: J. Cole, Nicki, Drake & Kendrick",https://www.ticketweb.com/event/modern-monsters-j-cole-nicki-brooklyn-bowl-tickets/12783905,United States Of America,Brooklyn,-73.957549,40.722053
94,Fifteen (Taylor’s Version),pop,pop,post-teen pop,2021-04-09,2020s,"7,852,063",2021-04-09,April,Spring,2021,66.0,0.559,0.646,-4.61,0.0272,0.116,0.32,95.466,294419.0,0.289,G,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
95,Moon,pop,k-pop,k-pop boy group,2020-02-21,2020s,"7,850,129",2020-02-21,February,Winter,2020,72.0,0.703,0.646,-6.658,0.0596,0.0104,0.191,141.87,208590.0,0.64,F#/Gb,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
96,Bust Me,rap,melodic rap,philly rap,2020-03-06,2020s,"7,828,045",2020-03-06,March,Spring,2020,57.0,0.734,0.703,-6.256,0.355,0.237,0.413,151.923,194452.0,0.608,B,Lil Uzi Vert,11821805,male,Millennial,person,US,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
97,War,hip hop,canadian hip hop,canadian pop,2020-05-01,2020s,"7,821,869",2020-05-01,May,Spring,2020,64.0,0.749,0.792,-4.151,0.0826,0.292,0.109,144.064,180000.0,0.239,A#/Bb,Drake,56327031,male,Millennial,person,CA,Drake White,https://www.ticketmaster.com/drake-white-indianapolis-indiana-03-18-2023/event/05005E22B19D1600,United States Of America,Indianapolis,-86.249381,39.768343
98,What Christmas Means To Me,other,[],-,2021-08-06,2020s,"7,792,643",2020-12-18,December,Winter,2020,0.0,0.545,0.7,-6.961,0.0323,0.0982,0.1,83.506,148147.0,0.799,F,Stevie Wonder,1251372,male,Baby Boomer,person,US,Stevie Wonder Songbook: Some Kinda Wonderful,https://www.ticketweb.uk/event/stevie-wonder-songbook-some-kinda-boisdale-canary-wharf-tickets/12809635?REFERRAL_ID=tmfeed,Great Britain,London,-0.022271,51.505252
99,Outta Time (feat. Drake),hip hop,kentucky hip hop,pop,2020-10-02,2020s,"7,762,934",2020-10-02,October,Autumn,2020,68.0,0.714,0.582,-7.272,0.0808,0.0129,0.0774,92.819,198822.0,0.338,F,Bryson Tiller,5019909,male,Millennial,person,US,NAV: Never Sleep Tour,https://www.ticketmaster.ca/nav-never-sleep-tour-toronto-ontario-04-11-2023/event/10005D68940D15EB,Canada,Toronto,-79.3783234,43.6439254
100,The Way I Loved You (Taylor’s Version),pop,pop,post-teen pop,2021-04-09,2020s,"7,736,262",2021-04-09,April,Spring,2021,72.0,0.402,0.732,-4.665,0.0484,0.0033,0.108,161.032,243137.0,0.472,F,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
101,Sine From Above (with Elton John),dance pop,dance pop,pop,2020-05-29,2020s,"7,734,309",2020-05-29,May,Spring,2020,60.0,0.642,0.792,-5.746,0.0488,0.158,0.68,122.965,244880.0,0.0903,C,Lady Gaga,18585963,female,Millennial,person,US,Big Wig Lady Gaga Brunch: The Ultimate Drag Experience,https://concerts.livenation.com/big-wig-lady-gaga-brunch-the-philadelphia-pennsylvania-01-28-2023/event/02005D69970923FB,United States Of America,Philadelphia,-75.134752,39.965819
102,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),pop,pop,post-teen pop,2021-03-26,2020s,"7,712,896",2021-03-26,March,Spring,2021,65.0,0.589,0.496,-7.606,0.0377,0.818,0.101,142.731,220839.0,0.44,D,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
103,Telepathy,pop,k-pop,k-pop boy group,2020-11-20,2020s,"7,703,744",2020-11-20,November,Autumn,2020,77.0,0.787,0.669,-4.333,0.0428,0.00782,0.123,104.994,202313.0,0.57,F,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
104,Enigma,dance pop,dance pop,pop,2020-05-29,2020s,"7,695,566",2020-05-29,May,Spring,2020,59.0,0.669,0.804,-4.035,0.036,0.0306,0.694,116.001,179760.0,0.184,C,Lady Gaga,18585963,female,Millennial,person,US,Big Wig Lady Gaga Brunch: The Ultimate Drag Experience,https://concerts.livenation.com/big-wig-lady-gaga-brunch-the-philadelphia-pennsylvania-01-28-2023/event/02005D69970923FB,United States Of America,Philadelphia,-75.134752,39.965819
105,"Solo Dolo, Pt. III",hip hop,hip hop,ohio hip hop,2020-12-11,2020s,"7,655,623",2020-12-11,December,Winter,2020,61.0,0.589,0.727,-6.907,0.0866,0.239,0.164,152.058,242267.0,0.52,A#/Bb,Kid Cudi,5002317,male,Millennial,person,US,No events,-,-,-,-,-
106,WITHOUT YOU,hip hop,australian hip hop,-,2020-11-06,2020s,"7,642,130",2021-02-05,February,Winter,2021,87.0,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385.0,0.467,C,The Kid LAROI,2230022,male,Generation Z,person,AU,The Kid LAROI,https://www.ticketmaster.com/the-kid-laroi-lexington-kentucky-03-31-2023/event/16005D1224659B13,United States Of America,Lexington,-84.5010377,38.049148
